ID Facetten;Descr Facetten;Desc jobturbo;Id jobturbo
1;Agentur, Werbung, Marketing & PR;Marketing Manager;1
;;Grafik Designer/in;2
;;Art Director;3
2;Aus- & Weiterbildung;Lehrer/in;4
;;Nachhilfelehrer/in;5
5;Baugewerbe & -industrie;Bauarbeiter/in;6
;;Schweißer/in;7
;;Produktionsmitarbeiter/-in;8
6;Beratung;Sales Manager;9
;;Unternehmensberater/-in;10
;;Kundenberater/in;11
7;Beratung, Wirtschaftsprüfung & Recht;Buchhalter;12
;;Business Development Manager/-in;13
;;Unternehmensberater/-in;14
10;Chemie- & Pharmaindustrie;Laborassistent/in;15
11;Dienstleistungen;Promoter/in;16
;;Umzugshelfer/in;17
;;Regalauffüller/in;18
;;Haushälter;19
;;Freizeitbetreuer/in;20
;;Babysitter/in;21
;;Reinigungskraft;22
;;Frisör/in;23
;;Fotograf/in;24
;;Schneider/in;25
;;Florist;26
13;Einzelhandel;Kosmetiker/in;27
;;Bäcker/in;28
;;Filialleiter/in;29
16;Finanzdienstleistungen;Bankkaufmann/-frau;30
18;Gesundheit & soziale Dienste;Erzieher/in;31
;;Hebamme/Entbindungspfleger;32
;;Krankenschwester/-pfleger;33
;;Kinderkrankenschwester/-pfleger;34
;;Altenpfleger/in;35
;;Pflegekraft;36
;;Physiotherapeut;37
;;Rettungssanitäter/in;38
;;Laborassistent/in;39
;;Sozialarbeiter/in;40
;;Arzthelfer/in;41
;;Tagesmutter/-vater;42
;;Ernährungsberater/in;43
;;Fitnesstrainer/in;44
20;Handwerk;Schreiner/in;45
;;Handwerker/in;46
;;Schlosser/in;47
21;Hotel, Gastronomie & Catering;Restaurantleiter/in;48
;;Service/ Kellner/in;49
;;Koch/Köchin;50
;;Küchenhilfe;51
;;Barkeeper/in;52
;;Barista;53
;;Hotelkaufmann/-frau;54
;;Chef de Rang;55
;;Restaurantleiter/in;56
;;Möbelpacker/in;57
23;Ingenieurwesen;Elektriker/in;58
;;Elektroniker/in;59
24;IT & Internet;Informatiker/in;60
;;UX Designer/-in;61
;;IT Administrator;62
;;Softwareentwickler;63
;;Produktmanager/in;64
;;EDV Techniker/in;65
26;Kultur;Schauspieler/in;66
;;DJ;67
;;Visagist/in;68
27;Land-, Forst-, Fischwirtschaft & Gartenbau;Landwirt/in;69
28;Logistik, Verkehrs- & Transportwesen;Lieferfahrer/in;70
;;Lagermitarbeiter/in;71
;;Zugbegleiter/in;72
29;Luft- & Raumfahrt;Flugbegleiter/in;73
;;Lufttransportbegleiter/-in;74
30;Maschinen- & Anlagenbau;Mechaniker/in;75
32;Medizintechnik;Arzt/Ärztin;76
36;Öffentlicher Dienst & Behörden;Polizist/in;77
;;Berufsfeuerwehrmann/-frau;78
;;Soldat/in;79
37;Personaldienstleistung & -beratung;HR Manager;80
39;Tourismus;Touristikkraft;81
;;Reiseleiter/in;82
41;Versicherungen;Versicherungsmathematiker;83
