ID Facetten;Descr Facetten;Descr PM-Branchen;ID PM-Branchen;;;;caption;id;;;;
1;Agentur, Werbung, Marketing & PR;Werbung und PR;38;;;;;;;;;
2;Aus- & Weiterbildung;Bildungsinstitutionen;2;;;;;;;;;
3;Automobilindustrie & Zulieferer;Autohäuser;1;;;;;;;;;
;;Autoindustrie;42;;;;;;;;;
;;Fahrzeugbau;51;;;;;;;;;
4;Banken & Kreditwirtschaft;Banken;3;;;;;;;;;
5;Baugewerbe & -industrie;Bau;43;;;;;;;;;
6;Beratung;Unternehmensberatung;5;;;;;;;;;
;;Projektsteuerung;23;;;;;;;;;
7;Beratung, Wirtschaftsprüfung & Recht;Steuerberatung, Wirtschaftsprüfung;28;;;;;;;;;
;;Rechtsberatung;24;;;;;;;;;
8;Bildungsinstitutionen;Bildungsinstitutionen;2;;;;;;;;;
9;Biotechnik;Biotechnologie;85;;;;;;;;;
10;Chemie- & Pharmaindustrie;Chemie, Verfahrenstechnik;47;;;;;;;;;
;;Pharma;69;;;;;;;;;
11;Dienstleistungen;Call Center;6;;;;;;;;;
;;Sonstige Dienstleistungen;26;;;;;;;;;
12;Druck-, Papier & Verpackungsindustrie;Druck und Papier, Verpackung;68;;;;;;;;;
13;Einzelhandel;Einzelhandel;82;;;;;;;;;
;;Einzelhandel, Lebensmittel;96;;;;;;;;;
;;Einzelhandel, Bekleidung, Textil;97;;;;;;;;;
;;Einzelhandel, Sonstiges;98;;;;;;;;;
;;Einzelhandel, Bau und Einrichtung;99;;;;;;;;;
;;Einzelhandel, Technik;100;;;;;;;;;
;;Internet- und Versand-Handel;84;;;;;;;;;
14;Energie-, Wasserversorgung & Entsorgung;Energie, Wasser, Umwelt, Entsorg.;48;;;;;;;;;
15;Feinmechanik & Optik;Feinmechanik, Optik;52;;;;;;;;;
16;Finanzdienstleistungen;Finanzdienstleistung;7;;;;;;;;;
17;Forschung & Wissenschaft;Forschungsinstitute;87;;;;;;;;;
18;Gesundheit & soziale Dienste;Gesundheitswesen;9;;;;;;;;;
;;Soziale Einrichtungen;27;;;;;;;;;
19;Großhandel;Großhandel;83;;;;;;;;;
;;Großhandel. Bau und Einrichtung;101;;;;;;;;;
;;Großhandel, Bekleidung, Textil;102;;;;;;;;;
;;Großhandel, Lebensmittel;103;;;;;;;;;
;;Großhandel, Technik;104;;;;;;;;;
;;Großhandel, Sonstiges;105;;;;;;;;;
;;Internet- und Versand-Handel;84;;;;;;;;;
20;Handwerk;Handwerk;10;;;;;;;;;
21;Hotel, Gastronomie & Catering;Hotel und Gaststätten;11;;;;;;;;;
22;Immobilien;Immobilien;12;;;;;;;;;
23;Ingenieurwesen;Ingenieurbüro;13;;;;;;;;;
;;Fahrzeugbau;51;;;;;;;;;
;;Elektrotechnik;50;;;;;;;;;
;;Halbleiter;88;;;;;;;;;
24;IT & Internet;Software;90;;;;;;;;;
;;Computer (Herstellung Hardware);86;;;;;;;;;
;;IT-Systemhäuser;93;;;;;;;;;
;;Sonstige Informationstechnologie;89;;;;;;;;;
25;Konsumgüter & Gebrauchsgüter;Konsum- und Gebrauchsgüter;58;;;;;;;;;
;;Bekleidung, Textil;78;;;;;;;;;
;;Kosmetik;59;;;;;;;;;
;;Möbel, Holz;66;;;;;;;;;
26;Kultur;Kultur;14;;;;;;;;;
27;Land-, Forst-, Fischwirtschaft & Gartenbau;Sonstige Industrie;74;;;;;;;;;
28;Logistik, Verkehrs- & Transportwesen;Logistik, Transport, Verkehr;16;;;;;;;;;
;;Schifffahrt;95;;;;;;;;;
29;Luft- & Raumfahrt;Luftfahrt;62;;;;;;;;;
30;Maschinen- & Anlagenbau;Maschinenbau;63;;;;;;;;;
;;Anlagenbau;41;;;;;;;;;
31;Medien (Presse, Film, Funk, TV, Verlage);Medien, Presse;18;;;;;;;;;
32;Medizintechnik;Medizintechnik;64;;;;;;;;;
33;Metallindustrie;Metall;65;;;;;;;;;
34;Nahrungs- & Genussmittel;Lebensmittel / Nahrung, Genuss;61;;;;;;;;;
35;Öffentlicher Dienst & Behörden;Öffentliche Verwaltung, Behörden;4;;;;;;;;;
36;Personaldienstleistung & -beratung;Personalberatung;21;;;;;;;;;
37;Telekommunikation;Telekommunikation;92;;;;;;;;;
38;Tourismus;Touristik, Freizeit;29;;;;;;;;;
39;Verbände & Institutionen;Verbände;32;;;;;;;;;
;;Forschungsinstitute;87;;;;;;;;;
;;Krankenhäuser;94;;;;;;;;;
40;Versicherungen;Versicherungen;36;;;;;;;;;
41;Weitere Branchen (Default-Mapping);Messebetreiber;19;;;;;;;;;
;;Zeitarbeit;40;;;;;;;;;
;;Sonstige Industrie;74;;;;;;;;;
;;Sonstige Investitionsgüter;57;;;;;;;;;
;;Kosmetik;59;;;;;;;;;
;;Kunststoff, Gummi, Glas, Keramik;60;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
