ID Facetten;Descr Facetten;Descr YourCareerGroup;bra_id YourCareerGroup;;;;;;;;;
1;Agentur, Werbung, Marketing & PR;Dienstleistung;30;;;;;;;;;
;;Kanzlei / Beratung / Agentur;31;;;;;;;;;
2;Aus- & Weiterbildung;Messe / Konferenz / Seminarveranstalter;36;;;;;;;;;
3;Automobilindustrie & Zulieferer;Industrie;4;;;;;;;;;
4;Banken & Kreditwirtschaft;Banken / Versicherungen / Immobilien;32;;;;;;;;;
5;Baugewerbe & -industrie;Industrie;4;;;;;;;;;
6;Beratung;Kanzlei / Beratung / Agentur;31;;;;;;;;;
7;Beratung, Wirtschaftsprüfung & Recht;Kanzlei / Beratung / Agentur;31;;;;;;;;;
8;Bildungsinstitutionen;Schulen (Berufs-, Hoch- und Fachschulen) / Institute;27;;;;;;;;;
9;Biotechnik;Industrie;4;;;;;;;;;
10;Chemie- & Pharmaindustrie;Industrie;4;;;;;;;;;
11;Dienstleistungen;Personaldienstleister / Personalvermittler;28;;;;;;;;;
;;Dienstleistung;30;;;;;;;;;
;;Firmenreisedienste;21;;;;;;;;;
;;Reisebüro / Reisevermittler;12;;;;;;;;;
12;Druck-, Papier & Verpackungsindustrie;Industrie;4;;;;;;;;;
13;Einzelhandel;Zulieferer / Handel;17;;;;;;;;;
14;Energie-, Wasserversorgung & Entsorgung;Schulen (Berufs-, Hoch- und Fachschulen) / Institute;27;;;;;;;;;
15;Feinmechanik & Optik;Industrie;4;;;;;;;;;
16;Finanzdienstleistungen;Banken / Versicherungen / Immobilien;32;;;;;;;;;
17;Forschung & Wissenschaft;Schulen (Berufs-, Hoch- und Fachschulen) / Institute;27;;;;;;;;;
18;Gesundheit & soziale Dienste;Kliniken / Praxen / Seniorenheime;15;;;;;;;;;
;;Soziale Einrichtungen;16;;;;;;;;;
19;Großhandel;Zulieferer / Handel;17;;;;;;;;;
20;Handwerk;Dienstleistung;30;;;;;;;;;
;;Industrie;4;;;;;;;;;
21;Hotel, Gastronomie & Catering;Hotellerie;1;;;;;;;;;
;;Day Spa / Fitness / Freizeitbad;20;;;;;;;;;
;;Gastronomie;2;;;;;;;;;
;;Ferienclubs;5;;;;;;;;;
;;Reiseveranstalter;24;;;;;;;;;
;;Kreuzfahrtschiffe / Schifffahrt / Reedereien;3;;;;;;;;;
;;Systemgastronomie;7;;;;;;;;;
;;Jugendherberge / Campingplatz / Hostel;33;;;;;;;;;
;;Catering Event / Partyservice;14;;;;;;;;;
;;Ferienhof / Gasthof / Pension;34;;;;;;;;;
;;Bars / Café / Disko / Kneipe;10;;;;;;;;;
;;Restaurants;13;;;;;;;;;
;;Gourmetrestaurants;37;;;;;;;;;
;;Kochschulen;38;;;;;;;;;
;;Catering / Großverpflegung;8;;;;;;;;;
22;Immobilien;Banken / Versicherungen / Immobilien;32;;;;;;;;;
23;Ingenieurwesen;Industrie;4;;;;;;;;;
24;IT & Internet;Internet Portale / Buchungssysteme;11;;;;;;;;;
;;Internet / IT / Telekommunikation;35;;;;;;;;;
25;Konsumgüter & Gebrauchsgüter;Zulieferer / Handel;17;;;;;;;;;
26;Kultur;Stadthallen / Theater / Kultureinrichtungen;29;;;;;;;;;
27;Land-, Forst-, Fischwirtschaft & Gartenbau;Industrie;4;;;;;;;;;
28;Logistik, Verkehrs- & Transportwesen;Kreuzfahrtschiffe / Schifffahrt / Reedereien;3;;;;;;;;;
;;Airlines / Flughafen;6;;;;;;;;;
29;Luft- & Raumfahrt;Industrie;4;;;;;;;;;
30;Maschinen- & Anlagenbau;Industrie;4;;;;;;;;;
31;Medien (Presse, Film, Funk, TV, Verlage);Stadthallen / Theater / Kultureinrichtungen;29;;;;;;;;;
;;Verbände / Organisationen;25;;;;;;;;;
32;Medizintechnik;Kliniken / Praxen / Seniorenheime;15;;;;;;;;;
33;Metallindustrie;Industrie;4;;;;;;;;;
34;Nahrungs- & Genussmittel;Bars / Café / Disko / Kneipe;10;;;;;;;;;
;;Gourmetrestaurants;37;;;;;;;;;
;;Kochschulen;38;;;;;;;;;
;;Restaurants;13;;;;;;;;;
35;Öffentlicher Dienst & Behörden;Privathaushalt / Botschaft / Konsulat;19;;;;;;;;;
;;Fremdenverkehrsämter;22;;;;;;;;;
36;Personaldienstleistung & -beratung;Personaldienstleister / Personalvermittler;28;;;;;;;;;
37;Telekommunikation;Internet / IT / Telekommunikation;35;;;;;;;;;
38;Tourismus;Touristik;18;;;;;;;;;
39;Verbände & Institutionen;Verbände / Organisationen;25;;;;;;;;;
40;Versicherungen;Banken / Versicherungen / Immobilien;32;;;;;;;;;
41;Weitere Branchen (Default-Mapping);;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
